date,closeprofit,positionprofit,dynbalance,fee
20180717,-679.99,-36.94,-716.93,0.00
20180718,-703.92,0.00,-703.92,0.00
20180719,-703.92,-12.05,-715.97,0.00
20180720,-726.58,0.00,-726.58,0.00
20180723,-726.58,93.89,-632.69,0.00
20180724,-617.80,0.00,-617.80,0.00
20180725,-617.80,-42.26,-660.06,0.00
20180726,-651.02,0.00,-651.02,0.00
20180727,-651.02,39.53,-611.49,0.00
20180730,-651.02,54.22,-596.80,0.00
20180731,-585.56,0.00,-585.56,0.00
20180801,-585.56,-161.52,-747.08,0.00
20180802,-767.43,0.00,-767.43,0.00
20180803,-767.43,118.31,-649.12,0.00
20180806,-767.43,192.05,-575.38,0.00
20180807,-605.17,0.00,-605.17,0.00
20180808,-605.17,-96.57,-701.74,0.00
20180809,-715.21,0.00,-715.21,0.00
20180810,-715.21,10.82,-704.39,0.00
20180813,-715.21,-26.77,-741.98,0.00
20180814,-746.17,0.00,-746.17,0.00
20180815,-746.17,124.90,-621.27,0.00
20180816,-746.17,172.12,-574.05,0.00
20180817,-623.60,0.00,-623.60,0.00
20180820,-623.60,-56.68,-680.28,0.00
20180821,-688.21,0.00,-688.21,0.00
20180822,-688.21,-29.82,-718.03,0.00
20180823,-737.23,0.00,-737.23,0.00
20180824,-737.23,32.94,-704.29,0.00
20180827,-680.32,0.00,-680.32,0.00
20180828,-680.32,3.64,-676.68,0.00
20180829,-680.32,-18.99,-699.31,0.00
20180830,-702.87,0.00,-702.87,0.00
20180831,-702.87,16.41,-686.46,0.00
20180903,-709.62,0.00,-709.62,0.00
20180904,-709.62,-61.92,-771.54,0.00
20180905,-736.43,0.00,-736.43,0.00
20180906,-736.43,64.97,-671.46,0.00
20180907,-690.33,0.00,-690.33,0.00
20180910,-690.33,-50.17,-740.50,0.00
20180911,-742.71,0.00,-742.71,0.00
20180912,-742.71,-27.40,-770.11,0.00
20180913,-706.36,0.00,-706.36,0.00
20180914,-706.36,-13.60,-719.96,0.00
20180917,-684.55,0.00,-684.55,0.00
20180918,-684.55,109.90,-574.65,0.00
20180919,-684.55,220.46,-464.09,0.00
20180920,-684.55,216.89,-467.66,0.00
20180921,-684.55,399.76,-284.79,0.00
20180925,-684.55,330.38,-354.17,0.00
20180926,-684.55,382.02,-302.53,0.00
20180927,-684.55,357.41,-327.14,0.00
20180928,-314.20,0.00,-314.20,0.00
20181008,-314.20,-110.20,-424.40,0.00
20181009,-402.53,0.00,-402.53,0.00
20181010,-402.53,0.00,-402.53,0.00
20181011,-402.53,-134.38,-536.91,0.00
20181012,-542.91,0.00,-542.91,0.00
20181015,-542.91,-106.63,-649.54,0.00
