code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SSE.ETF.510300,SHORT,201801100955,4183,201801101000,4188.4,1,-5.4,1,-6.6,-39.4,entershort,exitshort,292,293
SSE.ETF.510300,SHORT,201801101005,4185,201801101010,4191.4,1,-6.4,0.4,-8.6,-45.8,entershort,exitshort,294,295
SSE.ETF.510300,LONG,201801101015,4196.2,201801101020,4198.2,1,2,1.8,-3.8,-43.8,enterlong,exitlong,296,297
SSE.ETF.510300,SHORT,201801101025,4196.6,201801101045,4201,1,-4.4,3.4,-5.4,-48.2,entershort,exitshort,298,302
SSE.ETF.510300,LONG,201801101050,4202.4,201801101105,4197.4,1,-5,2.4,-6.6,-53.2,enterlong,exitlong,303,306
SSE.ETF.510300,SHORT,201801101110,4197.4,201801101120,4199.2,1,-1.8,1.6,-4,-55,entershort,exitshort,307,309
SSE.ETF.510300,LONG,201801101125,4203.8,201801101310,4203.8,1,0,5.4,-2.2,-55,enterlong,exitlong,310,313
SSE.ETF.510300,SHORT,201801101315,4196.2,201801101325,4190.2,1,6,6,-2.2,-49,entershort,exitshort,314,316
SSE.ETF.510300,SHORT,201801101330,4186.8,201801101340,4188.2,1,-1.4,3.6,-1.4,-50.4,entershort,exitshort,317,319
SSE.ETF.510300,SHORT,201801101350,4186.8,201801101355,4187.8,1,-1,0.6,-2.6,-51.4,entershort,exitshort,321,322
SSE.ETF.510300,SHORT,201801101400,4182.8,201801101405,4185.4,1,-2.6,2.6,-3.4,-54,entershort,exitshort,323,324
SSE.ETF.510300,LONG,201801101410,4191.4,201801101425,4198,1,6.6,10.6,-0.6,-47.4,enterlong,exitlong,325,328
SSE.ETF.510300,LONG,201801101435,4202.8,201801101440,4200.2,1,-2.6,0.8,-4,-50,enterlong,exitlong,330,331
SSE.ETF.510300,LONG,201801101445,4206.6,201801110940,4199,1,-7.6,8.4,-9.2,-57.6,enterlong,exitlong,332,337
SSE.ETF.510300,LONG,201801110945,4201.8,201801110950,4202.4,1,0.6,0.8,-6.8,-57,enterlong,exitlong,338,339
SSE.ETF.510300,LONG,201801110955,4207.4,201801111000,4204.2,1,-3.2,1.2,-3.8,-60.2,enterlong,exitlong,340,341
SSE.ETF.510300,LONG,201801111005,4204,201801111010,4197,1,-7,0.8,-8,-67.2,enterlong,exitlong,342,343
SSE.ETF.510300,SHORT,201801111015,4198.2,201801111030,4199.2,1,-1,3.2,-7.4,-68.2,entershort,exitshort,344,347
SSE.ETF.510300,SHORT,201801111035,4197.2,201801111115,4199.2,1,-2,6,-3.4,-70.2,entershort,exitshort,348,356
SSE.ETF.510300,SHORT,201801111120,4195.8,201801111305,4202.2,1,-6.4,5.8,-7,-76.6,entershort,exitshort,357,360
SSE.ETF.510300,SHORT,201801111310,4200,201801111315,4203.6,1,-3.6,0.6,-4.8,-80.2,entershort,exitshort,361,362
SSE.ETF.510300,SHORT,201801111325,4201.6,201801111335,4200.8,1,0.8,4.8,-0.2,-79.4,entershort,exitshort,364,366
SSE.ETF.510300,LONG,201801111340,4199.6,201801111400,4202.2,1,2.6,8,-1.4,-76.8,enterlong,exitlong,367,371
SSE.ETF.510300,LONG,201801111405,4209.4,201801111430,4204.2,1,-5.2,4.8,-5.4,-82,enterlong,exitlong,372,377
SSE.ETF.510300,LONG,201801111435,4208.4,201801111440,4209.8,1,1.4,1.4,-2.4,-80.6,enterlong,exitlong,378,379
SSE.ETF.510300,LONG,201801111445,4213.2,201801111450,4211.2,1,-2,0.4,-3,-82.6,enterlong,exitlong,380,381
SSE.ETF.510300,LONG,201801111455,4209,201801120940,4204.4,1,-4.6,2,-7.4,-87.2,enterlong,exitlong,382,385
SSE.ETF.510300,LONG,201801120945,4209.8,201801120955,4219.6,1,9.8,9,-2,-77.4,enterlong,exitlong,386,388
SSE.ETF.510300,LONG,201801121000,4221.2,201801121010,4221.6,1,0.4,6.6,-1.4,-77,enterlong,exitlong,389,391
SSE.ETF.510300,SHORT,201801121020,4219.8,201801121025,4225,1,-5.2,1.8,-5.8,-82.2,entershort,exitshort,393,394
SSE.ETF.510300,SHORT,201801121030,4221.6,201801121050,4214,1,7.6,12.6,-0.6,-74.6,entershort,exitshort,395,399
SSE.ETF.510300,LONG,201801121055,4216,201801121115,4217.2,1,1.2,7.2,-1.4,-73.4,enterlong,exitlong,400,404
SSE.ETF.510300,SHORT,201801121120,4214.4,201801121130,4215.2,1,-0.8,1.6,-5.8,-74.2,entershort,exitshort,405,407
