code,target,sigprice,gentime,usertag
SSE.ETF.510300,-1,3228.2,20181023111000000,entershort
SSE.ETF.510300,0,3224.8,20181023112500000,exitshort
SSE.ETF.510300,1,3222.8,20181023133500000,enterlong
SSE.ETF.510300,0,3212.4,20181023134500000,exitlong
SSE.ETF.510300,-1,3201.8,20181023135500000,entershort
SSE.ETF.510300,0,3204.4,20181023140000000,exitshort
SSE.ETF.510300,-1,3197.2,20181023140500000,entershort
SSE.ETF.510300,0,3179,20181023142500000,exitshort
SSE.ETF.510300,1,3176.2,20181023143500000,enterlong
SSE.ETF.510300,0,3195.4,20181024094500000,exitlong
SSE.ETF.510300,1,3194.2,20181024095500000,enterlong
SSE.ETF.510300,0,3187.4,20181024100500000,exitlong
SSE.ETF.510300,-1,3175.2,20181024101000000,entershort
SSE.ETF.510300,0,3181.4,20181024101500000,exitshort
SSE.ETF.510300,1,3196.2,20181024102000000,enterlong
SSE.ETF.510300,0,3201.8,20181024102500000,exitlong
SSE.ETF.510300,-1,3200.2,20181024103000000,entershort
SSE.ETF.510300,0,3192.8,20181024104000000,exitshort
SSE.ETF.510300,-1,3181.4,20181024104500000,entershort
SSE.ETF.510300,0,3193,20181024105500000,exitshort
SSE.ETF.510300,1,3193.2,20181024110000000,enterlong
SSE.ETF.510300,0,3242.6,20181024112000000,exitlong
SSE.ETF.510300,1,3249.2,20181024113000000,enterlong
SSE.ETF.510300,0,3240,20181024130500000,exitlong
SSE.ETF.510300,-1,3215.2,20181024132500000,entershort
SSE.ETF.510300,0,3198.2,20181024140500000,exitshort
SSE.ETF.510300,1,3193.2,20181024141500000,enterlong
SSE.ETF.510300,0,3191.6,20181024143000000,exitlong
SSE.ETF.510300,-1,3186.6,20181024143500000,entershort
SSE.ETF.510300,0,3188.8,20181024145000000,exitshort
SSE.ETF.510300,-1,3116.2,20181025093500000,entershort
SSE.ETF.510300,0,3126.6,20181025094000000,exitshort
SSE.ETF.510300,1,3140.2,20181025095500000,enterlong
SSE.ETF.510300,0,3146.6,20181025102000000,exitlong
SSE.ETF.510300,1,3163,20181025102500000,enterlong
SSE.ETF.510300,0,3138,20181025103500000,exitlong
SSE.ETF.510300,-1,3126,20181025104500000,entershort
SSE.ETF.510300,0,3144.4,20181025105500000,exitshort
SSE.ETF.510300,-1,3129.8,20181025110500000,entershort
SSE.ETF.510300,0,3134.6,20181025111000000,exitshort
SSE.ETF.510300,1,3154.2,20181025111500000,enterlong
SSE.ETF.510300,0,3144.4,20181025112500000,exitlong
SSE.ETF.510300,1,3155.8,20181025113000000,enterlong
SSE.ETF.510300,0,3147.8,20181025130500000,exitlong
SSE.ETF.510300,1,3152.2,20181025131500000,enterlong
SSE.ETF.510300,0,3138.6,20181025132000000,exitlong
SSE.ETF.510300,-1,3137.8,20181025133000000,entershort
SSE.ETF.510300,0,3144.6,20181025133500000,exitshort
SSE.ETF.510300,-1,3137.2,20181025134000000,entershort
SSE.ETF.510300,0,3144.2,20181025134500000,exitshort
SSE.ETF.510300,1,3160.4,20181025135000000,enterlong
SSE.ETF.510300,0,3159.2,20181025135500000,exitlong
SSE.ETF.510300,1,3159.4,20181025140000000,enterlong
SSE.ETF.510300,0,3169.8,20181025141000000,exitlong
SSE.ETF.510300,1,3186,20181025141500000,enterlong
SSE.ETF.510300,0,3182.6,20181025142000000,exitlong
SSE.ETF.510300,1,3197.8,20181025143000000,enterlong
SSE.ETF.510300,0,3190.2,20181025144000000,exitlong
SSE.ETF.510300,-1,3193,20181025145000000,entershort
SSE.ETF.510300,0,3205,20181026093500000,exitshort
SSE.ETF.510300,1,3197.2,20181026095000000,enterlong
SSE.ETF.510300,0,3200,20181026101000000,exitlong
SSE.ETF.510300,-1,3191.6,20181026104000000,entershort
SSE.ETF.510300,0,3194.2,20181026104500000,exitshort
SSE.ETF.510300,1,3196.8,20181026105000000,enterlong
SSE.ETF.510300,0,3186.6,20181026105500000,exitlong
SSE.ETF.510300,-1,3180,20181026110000000,entershort
SSE.ETF.510300,0,3164,20181026132000000,exitshort
SSE.ETF.510300,1,3165.8,20181026133000000,enterlong
SSE.ETF.510300,0,3159,20181026133500000,exitlong
SSE.ETF.510300,-1,3155.4,20181026134000000,entershort
SSE.ETF.510300,0,3164.6,20181026135000000,exitshort
SSE.ETF.510300,1,3165.6,20181026140000000,enterlong
SSE.ETF.510300,0,3153.2,20181026140500000,exitlong
SSE.ETF.510300,1,3170,20181026141500000,enterlong
SSE.ETF.510300,0,3161.6,20181026142000000,exitlong
SSE.ETF.510300,1,3147.6,20181026143000000,enterlong
SSE.ETF.510300,0,3165.8,20181026150000000,exitlong
SSE.ETF.510300,1,3160,20181029093500000,enterlong
SSE.ETF.510300,0,3132.6,20181029094000000,exitlong
SSE.ETF.510300,-1,3129.6,20181029094500000,entershort
SSE.ETF.510300,0,3130.8,20181029095000000,exitshort
SSE.ETF.510300,1,3133.2,20181029095500000,enterlong
SSE.ETF.510300,0,3128,20181029100000000,exitlong
SSE.ETF.510300,1,3121.8,20181029100500000,enterlong
SSE.ETF.510300,0,3119.8,20181029102000000,exitlong
SSE.ETF.510300,-1,3116.6,20181029102500000,entershort
SSE.ETF.510300,0,3109,20181029103500000,exitshort
SSE.ETF.510300,-1,3101.2,20181029104000000,entershort
SSE.ETF.510300,0,3104.8,20181029104500000,exitshort
SSE.ETF.510300,1,3112,20181029105000000,enterlong
SSE.ETF.510300,0,3109.8,20181029113000000,exitlong
SSE.ETF.510300,1,3093,20181029133500000,enterlong
SSE.ETF.510300,0,3082.6,20181029134000000,exitlong
SSE.ETF.510300,1,3088.6,20181029134500000,enterlong
SSE.ETF.510300,0,3087.8,20181029135000000,exitlong
SSE.ETF.510300,-1,3079.4,20181029135500000,entershort
SSE.ETF.510300,0,3080.2,20181029140000000,exitshort
SSE.ETF.510300,-1,3073.2,20181029141000000,entershort
SSE.ETF.510300,0,3078.2,20181029144000000,exitshort
SSE.ETF.510300,1,3077,20181029144500000,enterlong
SSE.ETF.510300,0,3065.2,20181030095000000,exitlong
SSE.ETF.510300,1,3076.2,20181030095500000,enterlong
SSE.ETF.510300,0,3076,20181030100500000,exitlong
SSE.ETF.510300,-1,3067.2,20181030101000000,entershort
SSE.ETF.510300,0,3067.4,20181030102500000,exitshort
SSE.ETF.510300,1,3087.4,20181030103000000,enterlong
SSE.ETF.510300,0,3111.2,20181030104500000,exitlong
SSE.ETF.510300,-1,3099,20181030105000000,entershort
SSE.ETF.510300,0,3109,20181030110000000,exitshort
SSE.ETF.510300,1,3129.8,20181030110500000,enterlong
SSE.ETF.510300,0,3130.4,20181030111500000,exitlong
SSE.ETF.510300,-1,3121.8,20181030112000000,entershort
SSE.ETF.510300,0,3142,20181030130500000,exitshort
SSE.ETF.510300,-1,3138.6,20181030131500000,entershort
SSE.ETF.510300,0,3151,20181030132500000,exitshort
SSE.ETF.510300,-1,3146.2,20181030133000000,entershort
SSE.ETF.510300,0,3130,20181030135000000,exitshort
SSE.ETF.510300,-1,3123.8,20181030140500000,entershort
SSE.ETF.510300,0,3130.8,20181030141000000,exitshort
SSE.ETF.510300,-1,3134,20181030142000000,entershort
SSE.ETF.510300,0,3134.6,20181030143000000,exitshort
SSE.ETF.510300,-1,3123.4,20181030143500000,entershort
SSE.ETF.510300,0,3114.8,20181030144500000,exitshort
SSE.ETF.510300,-1,3112,20181030145000000,entershort
SSE.ETF.510300,0,3123.4,20181031093500000,exitshort
SSE.ETF.510300,-1,3117.4,20181031094000000,entershort
SSE.ETF.510300,0,3128.2,20181031095000000,exitshort
SSE.ETF.510300,1,3137.6,20181031095500000,enterlong
SSE.ETF.510300,0,3136.8,20181031100500000,exitlong
SSE.ETF.510300,1,3137.6,20181031101000000,enterlong
SSE.ETF.510300,0,3153.2,20181031102000000,exitlong
SSE.ETF.510300,1,3148,20181031102500000,enterlong
SSE.ETF.510300,0,3142,20181031103500000,exitlong
SSE.ETF.510300,1,3148,20181031104500000,enterlong
SSE.ETF.510300,0,3137.2,20181031105000000,exitlong
SSE.ETF.510300,1,3144.4,20181031105500000,enterlong
SSE.ETF.510300,0,3135.4,20181031110000000,exitlong
SSE.ETF.510300,-1,3135,20181031110500000,entershort
SSE.ETF.510300,0,3139.2,20181031111000000,exitshort
SSE.ETF.510300,1,3132.6,20181031111500000,enterlong
SSE.ETF.510300,0,3144,20181031131500000,exitlong
SSE.ETF.510300,1,3148,20181031132000000,enterlong
SSE.ETF.510300,0,3165.6,20181031135500000,exitlong
SSE.ETF.510300,-1,3156.2,20181031140500000,entershort
SSE.ETF.510300,0,3155.8,20181031142500000,exitshort
SSE.ETF.510300,1,3159,20181031143000000,enterlong
SSE.ETF.510300,0,3152.2,20181031143500000,exitlong
SSE.ETF.510300,-1,3144,20181031144000000,entershort
SSE.ETF.510300,0,3146,20181031144500000,exitshort
SSE.ETF.510300,1,3150,20181031145000000,enterlong
SSE.ETF.510300,0,3151,20181031150000000,exitlong
SSE.ETF.510300,-1,3191.4,20181101093500000,entershort
SSE.ETF.510300,0,3205.4,20181101094000000,exitshort
SSE.ETF.510300,-1,3191.4,20181101094500000,entershort
SSE.ETF.510300,0,3215,20181101095000000,exitshort
SSE.ETF.510300,1,3221.8,20181101095500000,enterlong
SSE.ETF.510300,0,3212.4,20181101101000000,exitlong
SSE.ETF.510300,1,3220.4,20181101101500000,enterlong
SSE.ETF.510300,0,3208.8,20181101102000000,exitlong
SSE.ETF.510300,1,3223.2,20181101102500000,enterlong
SSE.ETF.510300,0,3218.4,20181101103000000,exitlong
SSE.ETF.510300,1,3216.8,20181101103500000,enterlong
SSE.ETF.510300,0,3210.8,20181101104000000,exitlong
SSE.ETF.510300,1,3213.8,20181101111000000,enterlong
SSE.ETF.510300,0,3213,20181101112500000,exitlong
SSE.ETF.510300,1,3220.6,20181101113000000,enterlong
SSE.ETF.510300,0,3205.2,20181101133500000,exitlong
SSE.ETF.510300,-1,3204.2,20181101134000000,entershort
SSE.ETF.510300,0,3193.4,20181101135500000,exitshort
SSE.ETF.510300,-1,3180.4,20181101140500000,entershort
SSE.ETF.510300,0,3182.2,20181101143500000,exitshort
SSE.ETF.510300,-1,3175.4,20181101144000000,entershort
SSE.ETF.510300,0,3176.4,20181101145000000,exitshort
SSE.ETF.510300,1,3259.4,20181102093500000,enterlong
SSE.ETF.510300,0,3240.4,20181102100000000,exitlong
SSE.ETF.510300,1,3251.2,20181102103500000,enterlong
SSE.ETF.510300,0,3241.8,20181102105500000,exitlong
SSE.ETF.510300,1,3271.4,20181102130500000,enterlong
SSE.ETF.510300,0,3273,20181102132000000,exitlong
SSE.ETF.510300,-1,3273,20181102133000000,entershort
SSE.ETF.510300,0,3283.8,20181102133500000,exitshort
SSE.ETF.510300,-1,3275.2,20181102134000000,entershort
SSE.ETF.510300,0,3281.4,20181102134500000,exitshort
SSE.ETF.510300,-1,3275.6,20181102135000000,entershort
SSE.ETF.510300,0,3286.6,20181102135500000,exitshort
SSE.ETF.510300,-1,3290,20181102140000000,entershort
SSE.ETF.510300,0,3283.8,20181102141500000,exitshort
SSE.ETF.510300,1,3286.2,20181102142000000,enterlong
SSE.ETF.510300,0,3292.8,20181102143000000,exitlong
SSE.ETF.510300,-1,3290.2,20181102144000000,entershort
SSE.ETF.510300,0,3300.6,20181102145000000,exitshort
SSE.ETF.510300,1,3276.8,20181105094000000,enterlong
SSE.ETF.510300,0,3270,20181105094500000,exitlong
SSE.ETF.510300,-1,3269.2,20181105095000000,entershort
