date,closeprofit,positionprofit,dynbalance,fee
20180906,-1059.99,-21.51,-1081.50,0.00
20180907,-1073.21,0.00,-1073.21,0.00
20180910,-1073.21,-65.90,-1139.11,0.00
20180911,-1141.22,0.00,-1141.22,0.00
20180912,-1141.22,-11.95,-1153.17,0.00
20180913,-1111.22,0.00,-1111.22,0.00
20180914,-1111.22,31.38,-1079.84,0.00
20180917,-1111.22,97.67,-1013.55,0.00
20180918,-1111.22,24.81,-1086.41,0.00
20180919,-1079.34,0.00,-1079.34,0.00
20180920,-1079.34,-5.12,-1084.46,0.00
20180921,-1079.34,72.73,-1006.61,0.00
20180925,-1034.35,0.00,-1034.35,0.00
20180926,-1034.35,22.02,-1012.33,0.00
20180927,-1034.35,-13.42,-1047.77,0.00
20180928,-1039.87,0.00,-1039.87,0.00
20181008,-1039.87,-73.35,-1113.22,0.00
20181009,-1104.12,0.00,-1104.12,0.00
20181010,-1104.12,-25.07,-1129.19,0.00
20181011,-1249.80,0.00,-1249.80,0.00
20181012,-1249.80,30.14,-1219.66,0.00
20181015,-1209.29,0.00,-1209.29,0.00
