code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.IDX.399658,SHORT,201808231500,3485.33,201808241500,3502.29,1,-16.96,11.3,-39.37,-1035.99,entershort,exitshort,157,158
SZSE.IDX.399658,LONG,201808271500,3505.44,201808301500,3562,1,56.56,104.49,-0.09,-979.43,enterlong,exitlong,159,162
SZSE.IDX.399658,LONG,201808311500,3504.9,201809031500,3452.55,1,-52.35,0,-50.13,-1031.78,enterlong,exitlong,163,164
SZSE.IDX.399658,SHORT,201809041500,3458.6,201809051500,3486.81,1,-28.21,15.46,-45.7,-1059.99,entershort,exitshort,165,166
SZSE.IDX.399658,LONG,201809061500,3423.6,201809071500,3410.38,1,-13.22,32.62,-38.08,-1073.21,enterlong,exitlong,167,168
SZSE.IDX.399658,LONG,201809101500,3389.69,201809111500,3321.68,1,-68.01,0,-69.58,-1141.22,enterlong,exitlong,169,170
SZSE.IDX.399658,LONG,201809121500,3332.18,201809131500,3362.18,1,30,24.79,-21.23,-1111.22,enterlong,exitlong,171,172
SZSE.IDX.399658,SHORT,201809141500,3346.42,201809191500,3314.54,1,31.88,110.37,-1.12,-1079.34,entershort,exitshort,173,176
SZSE.IDX.399658,LONG,201809201500,3378.45,201809251500,3423.44,1,44.99,77.49,-21.22,-1034.35,enterlong,exitlong,177,179
SZSE.IDX.399658,LONG,201809261500,3442.14,201809281500,3436.62,1,-5.52,47.34,-14.29,-1039.87,enterlong,exitlong,180,182
SZSE.IDX.399658,LONG,201810081500,3393.23,201810091500,3328.98,1,-64.25,6.01,-76.25,-1104.12,enterlong,exitlong,183,184
SZSE.IDX.399658,LONG,201810101500,3304.08,201810111500,3158.4,1,-145.68,10.75,-57.09,-1249.8,enterlong,exitlong,185,186
SZSE.IDX.399658,LONG,201810121500,3048.7,201810151500,3089.21,1,40.51,48.67,-66.78,-1209.29,enterlong,exitlong,187,188
